area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,1101,28,2,1,1,6,5,5,2,1,2,2,2,1,1,4,2,2,2,2,2,5,4,5,5,5,2,2,4,5,2713,402.8322976,10150001101,1015000110102802,10150001101028021,202210,1,1,Azuay
1,10150,1101,28,3,1,1,1,2,2,2,1,2,1,1,1,1,4,1,1,2,2,2,5,5,4,5,5,5,5,5,5,2713,402.8322976,10150001101,1015000110102803,10150001101028031,202210,1,1,Azuay
1,10150,1101,28,4,1,1,1,2,2,1,2,2,2,2,2,1,3,1,2,2,2,2,5,5,5,5,5,2,2,4,4,2713,402.8322976,10150001101,1015000110102804,10150001101028041,202210,1,1,Azuay
1,10150,1101,28,6,1,1,6,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,5,5,4,5,5,2,2,5,5,2713,402.8322976,10150001101,1015000110102806,10150001101028061,202210,1,1,Azuay
1,10150,1101,28,8,1,1,6,5,5,1,2,2,1,2,1,1,5,2,2,2,2,2,5,5,5,5,5,2,5,5,5,2713,402.8322976,10150001101,1015000110102808,10150001101028081,202210,1,1,Azuay
1,10150,1101,28,9,1,3,1,1,2,2,2,2,2,2,1,1,4,1,2,2,2,2,5,5,4,5,5,2,1,4,4,2713,402.8322976,10150001101,1015000110102809,10150001101028091,202210,1,1,Azuay
1,10150,1101,28,10,1,3,6,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,5,5,4,5,5,2,5,5,5,2713,402.8322976,10150001101,1015000110102810,10150001101028101,202210,1,1,Azuay
1,10150,1701,28,1,1,3,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,5,3,5,5,5,1,1,3,3,2713,90.42647853,10150001701,1015000170102801,10150001701028011,202210,1,1,Azuay
1,10150,1701,28,2,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,90.42647853,10150001701,1015000170102802,10150001701028021,202210,1,1,Azuay
1,10150,1701,28,3,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,4,5,5,2713,90.42647853,10150001701,1015000170102803,10150001701028031,202210,1,1,Azuay
1,10150,1701,28,6,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,4,5,5,5,5,4,5,5,2713,90.42647853,10150001701,1015000170102806,10150001701028061,202210,1,1,Azuay
1,10150,1701,28,7,1,3,2,2,2,1,2,1,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,90.42647853,10150001701,1015000170102807,10150001701028071,202210,1,1,Azuay
1,10150,1701,28,10,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,2,5,2,5,2,3,3,5,2713,90.42647853,10150001701,1015000170102810,10150001701028101,202210,1,1,Azuay
1,10150,2301,13,1,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,4,5,5,5,3,2,1,2,2711,57.56757075,10150002301,1015000230101301,10150002301013011,202210,1,1,Azuay
1,10150,2301,13,2,1,1,6,5,5,4,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,1,5,1,2711,57.56757075,10150002301,1015000230101302,10150002301013021,202210,1,1,Azuay
1,10150,2301,13,3,1,1,1,5,5,1,2,2,2,2,2,2,3,2,2,2,2,2,5,99,1,5,5,1,1,1,4,2711,57.56757075,10150002301,1015000230101303,10150002301013031,202210,1,1,Azuay
1,10150,2301,13,4,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,2,2711,57.56757075,10150002301,1015000230101304,10150002301013041,202210,1,1,Azuay
1,10150,2301,13,5,1,3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2711,57.56757075,10150002301,1015000230101305,10150002301013051,202210,1,1,Azuay
1,10150,2301,13,6,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,5,4,5,5,1,2,2,2,2711,57.56757075,10150002301,1015000230101306,10150002301013061,202210,1,1,Azuay
1,10150,2301,13,9,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2711,57.56757075,10150002301,1015000230101309,10150002301013091,202210,1,1,Azuay
1,10150,3203,28,1,1,3,1,2,2,2,1,2,1,2,1,1,4,1,2,2,2,2,5,5,5,5,5,1,1,5,5,2711,86.37849034,10150003203,1015000320302801,10150003203028011,202210,1,1,Azuay
